Variable,Description,New variable?
P8SCORE_ADJ_LOWER_FSM6CLA1A,"Adjusted Progress 8 weighted score LCI, disadvantaged pupils",
P8SCORE_ADJ_UPPER_FSM6CLA1A,"Adjusted Progress 8 weighted score UCI, disadvantaged pupils",
P8SCORE_ORIG_WGTAVG_FSM6CLA1A,"Unadjusted Progress 8 weighted score, disadvantaged pupils",
P8SCORE_ORIG_LOWER_FSM6CLA1A,"Unadjusted Progress 8 weighted score LCI, disadvantaged pupils",
P8SCORE_ORIG_UPPER_FSM6CLA1A,"Unadjusted Progress 8 weighted score UCI, disadvantaged pupils",
EBACCAPS_WGTAVG_FSM6CLA1A,"EBacc average point score, weighted average, disadvantaged pupils",
P8SCORE_ADJ_WGTAVG_NOTFSM6CLA1A,"Adjusted Progress 8 weighted score, non-disadvantaged pupils",
P8SCORE_ADJ_LOWER_NOTFSM6CLA1A,"Adjusted Progress 8 weighted score LCI, non-disadvantaged pupils",
P8SCORE_ADJ_UPPER_NOTFSM6CLA1A,"Adjusted Progress 8 weighted score UCI, non-disadvantaged pupils",
P8SCORE_ORIG_WGTAVG_NOTFSM6CLA1A,"Unadjusted Progress 8 weighted score, non-disadvantaged pupils",
P8SCORE_ORIG_LOWER_NOTFSM6CLA1A,"Unadjusted Progress 8 weighted score LCI, non-disadvantaged pupils",
P8SCORE_ORIG_UPPER_NOTFSM6CLA1A,"Unadjusted Progress 8 weighted score UCI, non-disadvantaged pupils",
EBACCAPS_WGTAVG_NOTFSM6CLA1A,"EBacc average point score, weighted average, non-disadvantaged pupils",
NUM_SCHLS_ACAD,Number of schools in MAT in academic cohort,
NUM_STUDENTS_ACAD,Number of students in MAT in academic cohort,
PERC_DISADV_ACAD,Percentage of pupils in MAT who are disadvantaged in academic cohort,
SCHOOLS_SPONSORLED_ACAD,Number of schools in MAT that are sponsor led in academic cohort,
SCHOOLS_CONVERTERS_ACAD,Number of schools in MAT that are converters in academic cohort,
SCHOOLS_FREE_ACAD,Number of schools in MAT that are free schools in academic cohort,
SCHOOLS3_ACAD,Number of schools which have been in MAT for 3 years in academic cohort,
SCHOOLS4_ACAD,Number of schools which have been in MAT for 4 years in academic cohort,
SCHOOLS5_ACAD,Number of schools which have been in MAT five years or more in academic cohort,
PROGR_DESCR_ACAD,Academic cohort progress banding,
VA_MAT_ACAD,Academic cohort progress,
LCI_MAT_ACAD,Academic cohort progress LCI,
UCI_MAT_ACAD,Academic cohort progress UCI,
VA_MAT_ACAD_DIS,"Academic cohort progress, disadvantaged pupils",
LCI_MAT_ACAD_DIS,"Academic cohort progress LCI, disadvantaged pupils",
UCI_MAT_ACAD_DIS,"Academic cohort progress UCI, disadvantaged pupils",
NUM_SCHLS_AGEN,Number of schools in MAT in applied general cohort,
NUM_STUDENTS_AGEN,Number of students in MAT in applied general cohort,
PERC_DISADV_AGEN,Percentage of pupils in MAT who are disadvantaged in applied general cohort,
SCHOOLS_SPONSORLED_AGEN,Number of schools in MAT that are sponsor led in applied general cohort,
SCHOOLS_CONVERTERS_AGEN,Number of schools in MAT that are converters in applied general cohort,
SCHOOLS_FREE_AGEN,Number of schools in MAT that are free schools in applied general cohort,
SCHOOLS3_AGEN,Number of schools which have been in MAT for 3 years in applied general cohort,
SCHOOLS4_AGEN,Number of schools which have been in MAT for 4 years in applied general cohort,
SCHOOLS5_AGEN,Number of schools which have been in MAT five years or more in applied general cohort,
PROGR_DESCR_AGEN,Applied general cohort progress banding,
VA_MAT_AGEN,Applied general cohort progress,
LCI_MAT_AGEN,Applied general cohort progress LCI,
UCI_MAT_AGEN,Applied general cohort progress UCI,
VA_MAT_AGEN_DIS,"Applied general cohort progress, disadvantaged pupils",
LCI_MAT_AGEN_DIS,"Applied general cohort progress LCI, disadvantaged pupils",
UCI_MAT_AGEN_DIS,"Applied general cohort progress UCI, disadvantaged pupils",
